review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"I am using scooter 5 months above
But not 1 problem my ola s1 pro
All part is of the best quality
Off roed use bettar expriance
No fire expriance (ignore fake news)
Top performance
Full charge and 131 mileage
It's my second scooter but experience no.1
The price segment is the top scooter in this price range.",Everything,6 months-1 yr,< 5000 kms,5,5,5,5,5,,5,,,OLA S1 Pro
"It is just amazing and the top speed on paper is 115 km/h but in real in turbo mode it gives a top speed of 70
km/h and the charging time is not so much because when we see the range after 100% charging the vehicle it gives a range of 147 kms. The charging time is 7 to 7.30 hours.",Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,5,3,,5,,,OLA S1 Pro
"Bought online, door delivery service.
Smooth ride
Good look, best performance, range 145 + km per charge
Its good for daily commute and long ride upto 150 km.
High speed scooter in this price.129999/- exclusive state subsidy.
Good suspension
Have some issue with handle lock, software.
Sometime takes more time to start if get some issue with handle lock. It shows park mode for some time.",Daily Commute,< 3 months,< 5000 kms,5,5,5,5,3,,5,,,OLA S1 Pro
"Please don’t buy ola. They have the most worst customer service.. There is no dedicated customer care number to contact them. Always you will end up chatting with dumb chatbot..
They will not respond for any of your queries.
You will be regretting for buying this your whole life..
Stay away from ola.",Daily Commute,3-6 months,< 5000 kms,1,1,1,1,1,,1,,,OLA S1 Pro
"Buying experience was very good. Scooter was delivered directly to my house.
Riding quality is best. Range is also good and braking is best in any scooter till now as it gets front and rear disk brakes. Suspension is awesome. Handling is like a bike. You will love it
Looks are unbeatable
Service and maintenance is 1/5th time of any petrol scooter
No cons till now",Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,5,4,,4,,,OLA S1 Pro
"Buying experience was little complicated but riding experience is too good. Lt looks sexy and unique. Till now ridden 500+ km. It goes smooth. And on hyper mode it goes like creasy. Over all fit and finish is ok, but i am not complaining about it. Boot space is too large and fits 2 half face helmets easily. Please don't go on what they are claiming about range. I tested 5 times and it gave me 100 to 118 km. (from 100% battery to 20% remaining) it means i can still go 10 km.",Daily Commute,< 3 months,< 5000 kms,5,5,4,5,4,,4,,,OLA S1 Pro
"Buying experience was good. Delivery person was very friendly. Riding in hyper mode is excellent. Full power pack machine and it easily cross 100 mark, the scooter I received has no gaps or scratches. Have inspected before pre delivery. now final verdict
Pros-looks, quality and performance
Cons- no service center, no showroom and actual range of scooter is 135km /charge it is very low than company promises during launching. and the hump in foot area should be removed it is not practical during household use in which scooters like activa does.",Daily Commute,< 3 months,< 5000 kms,4,5,4,5,4,,5,,,OLA S1 Pro
"My scooter got delivered on 9th january 2022
My total experience was fine
I hope they have dealers because the customer care is worst
Pro speed power and build quality has smart features
As of now good response from service team
The driving experience is super
Range is 150+ in 30-40 speed in normal mode
121 in 50-60 mixed mode
Good suspension
Cons
Fit an finish is not so great panel gaps are more.
As the company is new its acceptable hope they fix all this problems.",Daily Commute,< 3 months,< 5000 kms,5,4,4,5,3,,5,,,OLA S1 Pro
"Got the scooter delivered on Jan 3rd, 2022.
Payment process : was one of the first early adopters - reserved her for 500 on july 23. 2 months later, paid an advance of 20k, and got an invite to take the test ride 15 days later. Paid the final amount in October, and received the delivery window of December 15-31. The ola representative called in December end for final confirmation and soon received the intimation of insurance and registration payment from icici lombard and rto respectively. Home delivered in a mini truck.
Idv on insurance : 155400
Actual cost : 197400 (ex showroom 163549, smart card - 200, postal fee - 50, registration - free, zero dep insurance - 7632, portable charger - 9000, performance upgrade - 17000)
Fame ii subsidy : 59550 (15000 per kwh - 15000*3.97)
Maharashtra state subsidy : 29850 (5000 per kwh - 5000*3.97 = 19850 + 10000 additional)
Total subsidy discount : 89400
Effective on road price : 108000
Real world range : 135 kms in normal, 120 km in sports, 95 km in hyper
Arai claimed range : 181 kms
Design language : a big fan, front leds are as powerful as a dominar's and cute like wall e's face! it's parent company etergo won the german design award in 2020, so there's that too! floorboard isn't flat, but compensates by providing a 36lt boot space, that can fit 2 half face helmets, and 1 full face ls2 ece helmet sideways. Turn indicators chime through the in built speakers. Display is 7"". Stock horn is typical road runner type (90s kids relate?)
Riding : very agile, planted in corners, thick 120 section mrfs provide good grip. Seat height is 790mm and well padded and you sit taller than the traffic (i'm 6 feet). Motor whines while accelerating (it's addictive). The bugs of the beta software have been fixed, and now the scooter runs a stable os.
Performance : 0-40 : 3 seconds, 0-60 : 5 seconds, top speed : 115 kmph, torque : 58nm (accelerates in hyper mode arguably as fast as a dominar 400/ duke 250)
Charging : likes to take it in the ass through a 750w portable charger. Charging time : 6.5 hours. 6amp connection taken from home.
Running costs : 4.54km/rupee or rs. 0.22/km. In comparison, a bike returning 35 km/l at 105/litre equals rs.3/km
Battery warranty : 3 years
Battery life : 7 years (claimed)
Battery replacement cost : Rs. 60000 (info provided by technician, subject to drop in price as adoption increases)
Niggles : delivery date was pushed by 4 days, but guess have to give ola credit for innovation, so no complaints.
Future updates :
March 2022 - gps, navigation and bluetooth
June 2022 - cruise control, hill hold etc",Daily Commute,< 3 months,< 5000 kms,5,5,,5,,,5,,,OLA S1 Pro
"To own electric vehicles is best bet today. India is the biggest two wheeler market in the world. Ev adoption is increasing rapidly world wide. India is also prepping to become ev super power with great products by ola electric, amo electric bikes, hero electric, Ather energy, ampere electric and more.",Everything,Never owned,,4,,,,,,,,,OLA S1 Pro
"Let's start it from its exterior. The ola s1 pro has got fabric body and the battery part is metallic finish to protect the battery. The ola s1 pro has got all led lights including indicators, headlamp, taillamp and the s1 pro has got 2 led headlamps and you can choose to light up 1 or both. Coming to the touch screen of s1 pro, the touch screen has got all information regarding the s1 pro the speed, battery, km driven, km left to drain battery and also it got a bluetooth connectivity for maps. BTW it has a offline map also for attending calls, cutting the calls. The s1 pro have 2 speakers, could you believe it. You can listen songs by bluetooth connectivity on them and the s1 pro has got a usb socket also and the utlity space on both the knee sides. Now moving on to the top speed of s1 pro. OMG, the first scooter I have ever seen which reaches 110-115 km/h easily. It has got 3 modes normal, sport, hyper. Whenever you switch modes from normal the screen shows you the decreasing battery which is normal. The full capacity of full charge running of s1 pro is approx 180 kms which is awesome. Now let's move to the boot space, It has got very huge boot space. You can easily fit 2 helmets on it. Now moving to the looks, touchwood the ola s1 pro is very good looking and premium scooter. You get alloys and both disc brakes.. In my opinion it is the best smart electric scooter available in India with decent price.. The price of s1 pro is approx 1,20000 INR.
Now move to the pros and cons
Pros-
1-looks
2-performance
3-heallty for nature
4-resonable for running cost
5-boot space
6- the smart touch screen
7-and more and more mileage
Now let's move to the cons
Cons-
1-costly price
2-mono shock suspension.",Daily Commute,Never owned,,4,4,5,5,4,,4,,,OLA S1 Pro
"Yeah, I experienced the best of riding the bike with the amazing features of a digital system without a physical key which is encrypted as a passcode which enables a customer to easier without losing the physical access,
Secondly, the side lock system is good and needs some more tricky.
The mileage of this bike is obvious and the riding experience is great smoother.
The digital system is much amazing as expected totally everything is good the rating of this bike is 4.8 starings.",Everything,Never owned,,5,4,5,4,5,,5,,,OLA S1 Pro
"The worst customer care and the bike is not giving 180 as mentioned it will give around 100 to 120 only.
A charge is quickly dropping. It's not recommended for long rides (you can take 10 to 15 kms if emergency)
You may think of saving the cost of petrol, but it will waste all your money on charging itself..",Daily Commute,3-6 months,< 5000 kms,1,3,1,3,1,,1,,,OLA S1 Pro
"Bought an ola during the holi window.
Procedural time is understandable. Delivery was pathetic there was a dispute between the transporter and truck owner the vehicle was helped up on the truck for 3 days. The rep was rude but answered the mobile.
Riding the scooter has power alright. Was disappointed there is no navigation preinstalled. The rep says there will be a software update. There is a scraping sound when above 35km/hr also there is a vibration that you can feel on the foot if you wear chappals. Called the company rep and he said to ride for 500km if still there to call customer care. Overhaul I'm concerned about the vibration it's 200km and still, both are there.
Looks are great and good performance too.
It's new so no idea about the servicing or maintenance.
Looks great, spacious compartment, very silent, keyless, enough range for my daily requirements",Occasional Commute,< 3 months,< 5000 kms,4,5,,5,3,,4,,,OLA S1 Pro
"I haven't bought this yet but was thinking. The riding review with one of my friends was little jerky while riding.
The looks of this bike are very much different from other EVs its eye-catching, cool looks with multiple color options to choose from.
Can't talk about the performance.
Now coming to the servicing part I think the OLA is on the trails and errors stage and the base is not set yet to resolve the issues of its riders and customers but I believe that they will come up with the resolutions very soon for the issues which their customers are facing.
Pros-
Firstly it is an EV.
Amazing looks.
Cons-
Launched in Dec-2021 in cold weather, yet to experience till this summer ends that how many more complaints to be seen and also should get ready for Mumbai rainy season to come.
-It Will be more helpful for its riders if they keep the availability of their spare parts and prompt service.
Until then I will not opt for EV but I wish all the best to OLA to do good to save the Environment.",Daily Commute,Never owned,,3,5,3,3,3,,2,,,OLA S1 Pro
"Easy to purchase, easy to ride with good pickup, looks awesome with simplicity, performance as per company commitments, servicing and maintenance is low in cost and on time. Pros - save fuel and also save nature without making pollution of air and sound and cons- is charging availability on a long journey.",Everything,3-6 months,5000-10000 kms,5,5,5,5,5,,5,,,OLA S1 Pro
"1. Buying experience: they really made us wait for a very long period, took 2 months more than the promised delivery date.
2. Riding: it is just amazing and the top speed on paper is 115 km/h but in real in turbo mode, it gives a top speed of 70km/h and the charging time is not so much because when we see the range after 100% charging the vehicle it gives a range of 135 kms. The charging time is 7 to 7.30 hours.
3. Looks and performance: amazing looks and superb performance.
4. Pro: ride quality and eco friendly, pick up too good, comfortable for 2 people, has a large boot space, built quality is very good.
5. Con:
A) the functional buttons are very difficult to operate.(horn, turn indicator etc)
B) manual key lock is necessary
C) back number plate often hits the leg
D) side stand quality could have been better.
E) horn sound is very inadequate.
F) in real-life conditions it gives only 100 to 130 kms for one full charge(s1 pro)
F) fast-charging stations and not available
G) you cannot hold the brakes and accelerate the bike.
H) misses out on flat floorboard
I) unimpressive plastic quality
J) there is a scraping sound when above 35km/hr also there is a vibration that you can feel on the foot if you wear chappals.",Daily Commute,< 3 months,< 5000 kms,4,4,4,5,3,,5,,,OLA S1 Pro
"Buying experience is still frustrating. Riding the S1 Pro is great. Software is full of bugs. It abruptly goes into reverse mode without any input, even when the cluster shows that it is in forward mode. Power delivery is not consistent. Battery reaches high temperature pretty easily. Even the percentage shown in the cluster is not correct.",Daily Commute,< 3 months,< 5000 kms,1,4,1,4,2,,4,,,OLA S1 Pro
Performance is good but the thing is range will drop drastically to 0 sometimes and the service team is very worst they will keep scooter 20-30 days with them and won't solve the problems completely. For a new scooter they took it around 10-12 times to the service station and the thing everything is online we cannot go and ask for our rights there.,Daily Commute,> 1 yr,< 5000 kms,1,4,1,3,1,,4,,,OLA S1 Pro
"I booked s1 pro on dussera 2021 with an expectation to be delivered by the year-end, booking amount was 500 rs so wasn't much wishful, as I booked a tesla model 3 on 2016 which is never delivered in India (1000 usd booking). Anyways was surprised to receive a mail near holi to make final payments and my scooter will be delivered by may end. I was excited and made full payment and they did abide by the promise.
The delivery experience was smooth and coordinated and I faced no hassles in getting delivered at home in nagpur apart from a last-minute glitch of having the wrong scooter delivered but it was an honest mix-up as both same colors and assigned for a similar area. The initial impression of the scooter was very negative, having owned a honda dio for over a decade I was at least expecting my helmet to fit in the trunk which, despite being spacious wasn't the right size for storing my regular-sized helmet. And where is the center stand? it's an absolute must but if they did for the sensor and software issue. At least they had provision for the same and I got an aftermarket stand installed separately.
The driving experience is definitely an upgrade from traditional ice - the ride height, suspension system, dual disc brakes, wide and comfortable seats, and peppy motor make it check all boxes in the ride quality section. Its looks are unique and definitely head turner! software is another matter however ev makes it 40% software and 60% hardware. And the software is buggy - the charge level problems, occasional lags in the interface, and delay in promised updates do not look good on ola's books.
I haven't faced any maintenance needs and do not expect any necessity to service since there aren't any mechanical parts. The range is great and I do manage to get about 135-140 on a single charge as promised true range. Perhaps if I use regen braking more aggressively I may be able to manage more juice out of it, but I don't feel the need since I mostly cruise and only use it for leisure travels.
My friend's test drove this scooter as well, and they were all thrilled and enjoyed the ride! almost everyone mentioned the negative news coverage this is getting which I can understand by the framing effect people have.",Leisure Rides,< 3 months,< 5000 kms,5,5,4,5,5,,5,,,OLA S1 Pro
"I buy online but no finance options are available for me even though my cibil was 790, so I made a down payment 1.56 lac. The riding experience is awesome. I purchased this ev just for looks and features. I only need servicing one time and my ev picked up and drop to my residence but the problem is, no service center is available in kanpur, the nearest service center in lucknow. Good pickup, looks but the features promised by the company is still under development so I am feeling ditched by the company.",Daily Commute,3-6 months,< 5000 kms,4,5,3,5,2,,4,,,OLA S1 Pro
"Pathetic after-sale service, no coordination among ola representatives and service department and half-baked product and half-baked software plus false commitment and fake promise and weak body quality.
The cost is very high.
People should think and wait before investing a big amount of money and ola is capable but the service which is the most important part is pathetic among all ev.",Everything,3-6 months,< 5000 kms,2,3,2,3,2,,3,,,OLA S1 Pro
"After the release of ola scooter and especially simple one, I feel cheated. Even a small company like simple one is exceeding by far on every aspect (203 km range, 72 nm torque etc.). Ather has been extorting money in the name of fancy vehicle. Taking advantage of consumers because you have a monopoly is not a way to earn trust of your customers.
Highly doubt Ather will ever deliver anything at the right price.",Everything,Never owned,,1,4,3,2,3,,2,,,Ather 450X
I got the bike delivery within 10 days of the order. A very good experience riding the bike. Looks are very attractive performance is best in the segment and live feature is amazing with the online app of ather. The only problem is the range is only 70km after full charge but if you got a portable charger you can charge it anywhere.,Everything,< 3 months,< 5000 kms,5,5,5,5,4,,5,,,Ather 450X
Loved this amazing swadeshi-made vehicle!!! very good performance without any problem. Storage space is quite spacious. The back footrest is very comfortable. Reverse gear is an added advantage. Charging is very easy. Looks good. Customer service is fine. Overall good performance. Definitely would like to recommend this vehicle. The only suggestion company can think of little more mileage (km/charge),Everything,3-6 months,< 5000 kms,5,4,,4,5,,5,,,Ather 450X
Superb riding experience and its too smooth. Every one should ride the Ather scooter also good mileage and speed on traffic area.,Daily Commute,> 1 yr,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"Riding experience is good but the cost wise its very costly also the price mentioned in ""bikewale"" is also wrong, and its range is the second brand killer for Ather 450x with only 85 kms in a single charge. Ather 450x is the costliest electric scooter in India, its on road is 1.65 lakh, so price wise it is my personal review not to go with this scooter, other emerging brands are arriving in 2022, so its never late to wait for a perfect model to get launched.",Daily Commute,6 months-1 yr,5000-10000 kms,1,3,2,4,1,,1,,,Ather 450X
"To conserve our environment, use of electric vehicles is an proactive action. Electric vehicles help reduce vehicular pollution, noise pollution, greenhouse gas emissions and more. In upcoming years, India is becoming an EV superpower since many e-mobility companies such as Ather energy, ola electric, AMO electric bikes, Simple energy, Ampere vehicles, Okinawa are all ready to penetrate Indian EV space with great products.",Everything,Never owned,,4,,,,,,,,,Ather 450X
"Best electric vehicle this is. Compared to ola and other electric vehicles this is the best I have felt. Though ola gives more range than Ather. For example Ather is like Samsung and iPhone. Others are like oppo, vivo and mi. |From my experience I drive daily for 40-50 kms per day. I don't need higher km range as I do not go touring in this. So I feel Ather will be better to buy. Its quietly simple and awesome. It's features are not too low nor too high and it is simple as I am.. Simple things always looks good and attractive.",Daily Commute,< 3 months,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"Took a small test drive. Experience was good. The vehicle body frame and design are good. Belt drive may be a under design. The mileage of 85 kms per charge is very low compared to what claimed by ola and simple one. Very very highly priced. (on road rs1.51/- at Chennai) service cost of 2500/- at every 5000kms is also very high, subscription of app 2400/- per annum is also high. No free service. With very few electric scooters in market, they might survive now. In a year or two, they might not be in the market or might loose business if they don’t reduce the price and with other competitors coming in soon. For this price, it is not worth. If you have money and conscious about environment, you can buy.",Daily Commute,Never owned,,2,3,,,,,3,,,Ather 450X
"Just walked into the showroom Ather space , madhapur, Hyderabad...Excellent reception and test ride went so smooth and booked my 450x. It's a premium e-scooter just like an apple's iPhone. This scooter is designed perfection to the core. Of course very few minor flaws are there just like few dashboard software glitches. But overall riding experience and comfort and quality is just unmatchable. Because before buying this tried several brand's e scooters but none of them were able to match the quality of Ather 450x. Of course it is expensive but every penny which we spent on this is 100% wrathful. Its premium so obviously the price also little premium only. You don't believe when ever i stop my scooter at signals most of the people will ask about the scooter because of its attractive looks and dashboard. Once if you test ride the vehicle i am sure you will love it. Pickup is amazing. For city commute it is the best. And Ather is offering free grid charging also which is an added advantage. Overall the best Ather 450x. So far I have finished 1000kms in 45days. Combi disc brakes are really amazing works perfect. I wont say about future but in the current market 450x is best.",Daily Commute,< 3 months,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"I am a two wheeler lover.
The ather 450is fulfills my needs by being
1 maintenance free.
2. Excellent pickup.
3. Experience a good regeneration during coasting.
4. Good braking distance to achieve short control.
5 stability on road.
6 comfortable seating arrangement.
7 good dealer support
8 timeline delivery.
9. Wonderful on line support form technical team.
10. Last ather is price to invest.",Daily Commute,3-6 months,< 5000 kms,5,4,5,5,5,,5,,,Ather 450X
"A tad bit overpriced but its the best EV currently in the market don't fall for the trap of ola and simple one, just test drive either way before buying.
Ather is a proven commodity for past two years whereas ola and simple don't have it yet.
Ather servicing and customer service is very good even in the extreme circumstances they were of help to me.",Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,5,5,,5,,,Ather 450X
"I love this scooter, is it most powerful smart scooter than any other scooter.
Suspension is very smooth.
Superior Ride.
Unbelievable torque
I reached a top speed of 93 km/h
The sound is like a boing 737 JET.
I like this smart display with 4G connectivity...
GPS system
Accuracy of range in kilometers
On display as well as mobile phone.",Daily Commute,3-6 months,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"Those who are giving Ather 450X bad rating are only rating in terms of pricing though it is somewhat costly but Ather is way to good then any other vehicle out there in market. It's speed and pick-up is awesome and as per my daily use it gives minimum 85 km of mileage per charge. So, people who are reviewing it bad must see it from every angle.",Everything,6 months-1 yr,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"Buying Experience:
Buying experience is pathetic, i have pre-booked vehicle by seeing an ad with false information. Waited 11 months to receive vehicle.
No proper information given at purchase time also. No proper invoice it self.
Govt discount will go to company account.
Just a very normal electric scooter given for an amount of 1.89 lacs money
All the other features need subscription and subscription amount changed multiple times before even start
Riding Experience:
One good thing is pickup, but shock absobers are pathetic. Need flat road to have peaceful riding.
Public Charging points not available properly, and those available does not work, and it need solid 6 hours to get charged
Company claims 15km for 10 mins charging but it never works with fast charging also (tested from ather Experience center it self)
Ather mobile app is just a waste it wont show basic information also with out subscription.
Maps and dashboard get stuck in the middle and make u get confused with no information on how many km left on drive
Keeping idle will reduce charging, 15% went to zero in 2 days.
No portable charger, we need to pay 10K more to get portable charger even after buying scooter with premium amount of 1.89 lacs
Over all no satisfaction from 1.89 lacs scooter, it will be just a show piece after few months.",Daily Commute,> 1 yr,< 5000 kms,1,3,2,3,1,1,,2,,Ather 450X
"Very nice scooter really super fast scooter. I am enjoy driving, very good features thank you Ather, I am driving 75 days no complaints, no problem with this vehicle.",Daily Commute,3-6 months,< 5000 kms,5,5,5,5,3,,5,,,Ather 450X
"its a best bike for city but price is too much. The bike's real cost is around 90k to 100k but its overpriced and the company has many plans. Its cost shows like 2.4k for a year and including service plan but they have raised the price too much, Overall best bike but new Ola bike is arriving soon. Ola may be a best option than Ather 450x.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,4,5,2,,3,,,Ather 450X
"Ride experience is too good. It has wonderful braking confidence in moped category of this segment and the best suspension as well.
Color options & design of this model is very much attractive.
It would be good if Ather can focus to maximize the charge points through out Hyderabad as their volumes of business grow much faster.",Leisure Rides,Never owned,,5,4,5,4,5,,5,,,Ather 450X
"Don't know why people are rating this bike low. I am a using this from April 2021, my daily run is 60-62 km, everyday I take my Ather to home and office, there is no single point where I can say I paid too much for this. Honestly I am satisfied and I am feeling more younger when I sit on it and ride it. This Ather team has made a marvel.",Everything,< 3 months,< 5000 kms,4,5,5,4,5,,5,,,Ather 450X
"Hassle free buying experience with skilled technicians...Replaced my rx 135 with ather450x, liked performance same as rx with 450x. Service persons are too fantastic and best in this price range....Not tired of continues riding at 40 km/h and 85 km/h upto 50km ride.... Comfort and speed is the best part of Ather 450x.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,4,5,5,,5,,,Ather 450X
"Pricing is too much as you need to pay more. No proper assistance.
Don't buy Ather go for TVS or Bajaj.
Insurance costs you 5000 rupees.
Check other electric vehicles as their pricing is less than Ather.
TVS iQube is good at its price or check Bajaj Chetak.
Wait for more EV's to come in years. The future is electric only.",Daily Commute,3-6 months,< 5000 kms,1,1,1,1,1,,1,,,Ather 450X
"Pros:-
Comfortable in riding. No back pain and good experience while taking delivery. May be more than a 150 cc bike. Brakes are good does the work
Seats is like a jelly seat it is also good.
Cons:-
Subscriptions for facilities I hated it. Range is not getting as described.
Price is very high not easy for a middle class.",Daily Commute,< 3 months,< 5000 kms,1,2,2,4,3,,4,,,Ather 450X
"Previous model was around 1.2 lakh now 1.8 lakh, even we can ride petrol bike buy pay 200 per liter more .Also don't get trap for those they say about cost saving for that millage and speed we can buy good bike or scooter for less than a lakh still get a better mileage and cost effective. And monthly subscription for other features.",Daily Commute,3-6 months,< 5000 kms,1,1,1,1,1,,1,,,Ather 450X
"Buying Experience: not a happy experience for anyone due to a long waiting period and because of the pricing tag. 1.89 lakh's in Bangalore is the actual price. Only one branch in Bangalore and people need to go there for any small issues.
Riding Experience: pickup is the only good thing. Height is a little more and will.be tough for those with less than 5.5 feet height. Shock absorbers are worst and riding experience not good on uneven roads
Connected features need a subscription. Otherwise even an app or charging station charging does not work
Just around 70 to 75 km actual distance with one charge which needs 5 hours to charge again.
Looks: ok ok, different look but not so comfortable. Very few options in colors also.
Servicing: only one service center in all over Bangalore, company say they will pick and drop but that need a subscription.
Pros:
Pickup
Make in India
Cons:
Price, 1.89 lakh's actual on-road price (government gives 29k discount)
Government discount will go to company pocket.
5 hours charging needed for 75 km travel.
Only one branch in Bangalore for all service and issues.
After-sales response is not very good.
The charger is external and needs to be fixed to the wall.
Long travel not feasible as the bike does not have an internal charger.
An external charger is heavy and costs 15k extra.
Proper planning of ride needed, one wrong route will screw-up our travel.
Very few charging points and many do not work.
The battery will discharge while biking not in use.
Worst shock absorbers.
Extra height.
Subscription for servicing.
Subscription use maps and connected features.",Daily Commute,3-6 months,< 5000 kms,1,2,1,3,1,,1,,,Ather 450X
"Cost is very high otherwise is good and no removable battery, need to improve the range of bike cost is very high otherwise is good and no removable battery, need to improve the range of bike.",Daily Commute,Never owned,,1,4,5,4,3,,4,,,Ather 450X
"The heaviest part of the bike i.E. The battery is above the wheel hub (bearing) line thus making the centre of gravity higher. I have noticed that you cant tilt much when cornering or the vehicle will definitely lose balance. Will be tough to ride this on wet streets in monsoons. This is a major safety issue. Also, the battery doesn't look like it will last long.",Occasional Commute,< 3 months,< 5000 kms,2,4,3,3,3,,2,,,Ather 450X
"It's a beast for the price you pay. You can compare its performance to a Duke 250 on full throttle but ignoring the top speed. It goes up-to 80kmph in the city which is enough and what I liked is the build quality. Things you must keep in mind b4 buying the bike:
1. You need to charge it regularly and manage it well. If you can't manage the vehicle by charging it regularly or forget often to charge, don't buy this vehicle.
2. You need to understand how the ecosystem works. The hefty price is not only for the vehicle. You get other services as well. Although for 1.6L I definitely feel it's worth it. You don't have to pay for petrol. That's a huge W.
3. Make sure you know the nearest charging station so that it's convenient for you to charge your vehicle fast.
Don't worry they provide you with a charger at home as well.
4. You need to be gentle with the brakes. The bite is too good and you need to get used it.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,5,4,5,,5,,Ather 450X
"My daughters wanted me to buy only electric scooter - for the environment they said. So i booked in august and collected by bike yesterday! riding the bike is an awesome experience... Smooth and effortless ride.. Only issue is the slightly shady billing and invoicing process - even though i paid 1,68,989/- invoice says 1,39,989! ather is issuing two separate invoices - one for less amount (1,39,000) where they claim fame ii incentive and one more additional invoice of balance amount where they are simply charging claiming some upgrade...Thus effectively the individual don't get the fame incentive! so according to this ather 450x will be around 1,90,000!",Daily Commute,< 3 months,< 5000 kms,5,4,,,,,4,,4,Ather 450X
"Riding is excellent, quality up to mark, key is still the best way to operate a two wheeler, acceleration is epic.
Ather needs to improve the rear view mirror and increase no of charging stations. Introduce cruise control through software update. Still a good option in 2022 i wish the price can be reduced by better subsidy rules.",Daily Commute,< 3 months,< 5000 kms,5,4,4,4,3,,4,,,Ather 450X
"Basically bike is superb no doubt at all. The major issue of people is price TVS IQUBE VS ATHER.
ATHER Price includes the charger price but for TVs iqube we have to spend another 8500 rs..no touch screen and I personally visited the showroom the way they take of the customers too worst and Ather they will give u the best customer experience. The software is Ather far better than iqube and the vehicle is far far ahead of iqube.",Daily Commute,> 1 yr,< 5000 kms,5,5,5,5,,,5,,,Ather 450X
"This is my honest review after riding for 7500 km and 9 months.
I bought this bike in Aug 2021. The buying experience was not that great, but all that faded out in the excellent performance and quality of this bike. The riding experience was amazing. What I found was Ather has tested this bike in most Indian conditions and it is well suited for Indian roads. Looks are undoubtedly sporty, performance is superb has mentioned in numbers in the website.
I had done one service after 5000 km, it cost me some 1200 rs. No maintenance charges except service.
Pros.
1. Excellent Performance
2. Looks
3. No maintenance except servicing
4. Service cost is low
5. Riding experience
6. Useful OTA updates
Cons.
1. Price is comparatively high
2. Buying experience is not impressive
3. Range is 90 km. Which would have been 150km for the daily commute.",Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,5,5,,4,,,Ather 450X
"Worst bike and the service, it was the biggest mistake of buying this bike, since a year now the battery had a problem and no replacement, the battery is costing half of the new bike so it's totally waste. There is no service station in goa, they have to come from kolhapur and we have to pay separately for all the traveling expenses.",Occasional Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
I purchased this Hero branded before 6 years. There is problem with battery from the beginning. But dealer not serviced and in 7 months totally bike was stopped. Also dealer told purchase new battery. He is not replace or service battery and after some days dealership also closed. So be careful. It's my experience.,Daily Commute,> 1 yr,5000-10000 kms,1,1,1,,1,,2,,1,Hero Electric Optima
"Horrible bike. After driving it for a year, I know in and out of this bike and its support. And my opinion is don't ever buy this junk bike. Reasons. 1. Company claims wrong figures about its mileage of 55 km/battery. My bike never gave me more then 45 km/battery. Company is fooling its customer through false claims. 2. Poor material of critical components like motor and battery. I already touched upon initial battery response. After a year, bike is giving less then 30 km on a full charge. The motor of bike has got damaged within a year. Both are covered under 3-year warranty, but support too is horrible. 3. Customer support is horrible. Even after 15 days of issue identification, company hasn't still replaced motor and battery that ere covered under a 3 year warranty. I reached out to their engineer many times a day, but no response from him. He neither picks up the calls, nor responds on what's-app. All the good will of hero motor corp is getting damaged because of this company (hero electric) and its employees. Now, if you have spare money to waste, then still there are better options that this junk piece of bike. Give it to some beggar rather than cribbing after investing in this junk bike. My final verdict. Never even think in your dreams of investing money in this bike.",Daily Commute,6 months-1 yr,10000-15000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"Bought in Nov 2020, within 1 week suspension started making noise, dealer keep saying that there are so spares and it's been 4 months nothing got fixed. Using the same way even it makes noise. Quality of the bike is low. The only advantage is that we could avoid petrol pollution. Please buy the vehicle if dealer is giving all at once.",Daily Commute,3-6 months,< 5000 kms,3,4,2,,1,,4,,3,Hero Electric Optima
"Everyone should own this type of e vehicles to step against global warming. Optima hx is very good handling scooter with single li ion battery. I request to everybody. Please go for e-vehicles to save our environment & planet. Optima hx provides anti theft alarm too, which I like most.",Daily Commute,< 3 months,< 5000 kms,5,5,4,,4,,5,,4,Hero Electric Optima
